movie_name,genre,cast,director,tags
Sheela I Love You,Thriller,"JackieShroff, MadhuriDixit, JaavedJaaferi, LaxmikantBerde",Partho Ghosh,"Add a PlotThriller,Partho Ghosh,JackieShroff, MadhuriDixit, JaavedJaaferi, LaxmikantBerde"
Mr. & Mrs. Mahi,Drama,"RajkummarRao, JanhviKapoor, AbhishekBanerjee, KumudMishra",Sharan Sharma,"Life story of cricketer and former team India captain Mahendra Singh Dhoni.Drama,Sharan Sharma,RajkummarRao, JanhviKapoor, AbhishekBanerjee, KumudMishra"
Road to Sangam,"Drama,Thriller","PareshRawal, OmPuri, PawanMalhotra, JawedSheikh",Amit Rai,"Amidst bomb explosions, fake arrests, police brutality, and protests, a determined mechanic attempts to repair an antique truck to transport the last remains of Mahatma Gandhi in modern-day India.Drama,Thriller,Amit Rai,PareshRawal, OmPuri, PawanMalhotra, JawedSheikh"
Suraj,"Romance,Musical,Action","Vyjayanthimala, RajendraKumarTuli, AjitKhan, GajananJagirdar",T. Prakash Rao,"Maharaja Vikram decides to marry his daughter Anuradha to his commander's son, Pratap. However, years later, Anuradha is abducted by bandit Suraj while on her way to Pratap's coronation.Romance,Musical,Action,T. Prakash Rao,Vyjayanthimala, RajendraKumarTuli, AjitKhan, GajananJagirdar"
Honeymoon Travels Pvt. Ltd.,"Comedy,Drama,Romance","AbhayDeol, MinisshaLamba, BomanIrani, ShabanaAzmi",Reema Kagti,"Six newly-married, diverse, honeymooning couples face marital bliss and discord, finding out more about themselves, their significant others and life in this happy-go-lucky, quirky drama.Comedy,Drama,Romance,Reema Kagti,AbhayDeol, MinisshaLamba, BomanIrani, ShabanaAzmi"
Jung,"Action,Crime,Drama","SanjayDutt, JackieShroff, AdityaPancholi, RaveenaTandon",Sanjay Gupta,"A police officer is in a frantic search for a compatible bone-marrow donor for his gravely-ill son. The only match is a convicted vicious killer who is now on the run. All he has to do is catch him.Action,Crime,Drama,Sanjay Gupta,SanjayDutt, JackieShroff, AdityaPancholi, RaveenaTandon"
Raavan,"Action,Adventure,Drama","AbhishekBachchan, AishwaryaRaiBachchan, Govinda, Vikram",Mani Ratnam,"A bandit leader kidnaps the wife of the policeman who killed his sister, but later falls in love with her.Action,Adventure,Drama,Mani Ratnam,AbhishekBachchan, AishwaryaRaiBachchan, Govinda, Vikram"
City Lights,"Drama,Thriller","RajkummarRao, PatralekhaaPaul, ManavKaul, KhushbooUpadhyay",Hansal Mehta,"Deepak Singh is a farmer in Rajasthan. After a tragedy, he migrates to Mumbai with his wife and child to lead a better life. However, upon arriving, he soon discovers the challenges of life in a big city.Drama,Thriller,Hansal Mehta,RajkummarRao, PatralekhaaPaul, ManavKaul, KhushbooUpadhyay"
Kaala Patthar,"Action,Drama,History","AmitabhBachchan, ShashiKapoor, ShatrughanSinha, RakheeGulzar",Yash Chopra,"Inspired by a true mining tragedy the film is about people from all walks of life showing courage and character to fight the forces of nature.Action,Drama,History,Yash Chopra,AmitabhBachchan, ShashiKapoor, ShatrughanSinha, RakheeGulzar"
Blank,"Action,Thriller","SunnyDeol, KaranKapadia, KaranvirSharma, IshitaDutta",Behzad Khambata,"A suicide bomber loses his memory and has a bomb attached to his heart. It is up to the police officers to prevent this bomb from taking innocent lives.Action,Thriller,Behzad Khambata,SunnyDeol, KaranKapadia, KaranvirSharma, IshitaDutta"
Mitron,Comedy,"JackkyBhagnani, KritikaKamra, PrateikPatilBabbar, PerleneBhersaina",Nitin Kakkar,"In order to bring stability in Jai's life, his father decides to get him married. However, fate has other plans.Comedy,Nitin Kakkar,JackkyBhagnani, KritikaKamra, PrateikPatilBabbar, PerleneBhersaina"
Mahakaal,"Comedy,Horror","KaranShah, ArchanaPuranSingh, JohnyLever, MayurVerma","Shyam Ramsay, Tulsi Ramsay","A demon torments the family and friends of Anita in order to take revenge on his death, which was caused by her police-officer father. The rest of the movie is how Anita tackles the demon with the help of her boyfriend.Comedy,Horror,Shyam Ramsay, Tulsi Ramsay,KaranShah, ArchanaPuranSingh, JohnyLever, MayurVerma"
Daku Ramkali,"Adventure,Drama,Musical","SapnaSappu, JayThakur, RajeshVivek, JoginderShelly",Kanti Shah,"Sher Singh and Arjun Singh are identical twin brothers. Arjun is an honest police officer but Sher Singh becomes a dacoit under the influence of Bajrang and his gang. Sher Singh's daughter ...                See full summary »Adventure,Drama,Musical,Kanti Shah,SapnaSappu, JayThakur, RajeshVivek, JoginderShelly"
Ajji,"Crime,Drama","SushamaDeshpande, SmitaTambe, SharvaniSuryavanshi, AbhishekBanerjee",Devashish Makhija,"Little Manda is found raped and dumped in a trash heap near her slum. Her parents are more concerned with survival than dignity. The cops are powerless to help as the rapist is a local ...                See full summary »Crime,Drama,Devashish Makhija,SushamaDeshpande, SmitaTambe, SharvaniSuryavanshi, AbhishekBanerjee"
Mudrank: The Stamp,Mystery,"KaluramDhobale, MilindGunaji, AliKhan, ShahbaazKhan",Shakir Shah,"Add a PlotMystery,Shakir Shah,KaluramDhobale, MilindGunaji, AliKhan, ShahbaazKhan"
Aarzoo,"Action,Drama,Romance","MadhuriDixit, AkshayKumar, SaifAliKhan, PareshRawal",Lawrence D'Souza,"After her fiance, Vijay, is killed in a crash, a pregnant Pooja agrees to marry Amar, her childhood friend who has always loved her. But her life takes yet another turn when Vijay returns to her life.Action,Drama,Romance,Lawrence D'Souza,MadhuriDixit, AkshayKumar, SaifAliKhan, PareshRawal"
Bluffmaster!,"Comedy,Crime,Drama","AbhishekBachchan, PriyankaChopraJonas, RiteishDeshmukh, NanaPatekar",Rohan Sippy,"A conman Roy, gets dumped by his girl-friend. Then he finds out he has a fatal disease. On the verge of death, he resolves to do some good, by helping his apprentice Dittu hoodwink the mobster who hurt his (Dittu's) family.Comedy,Crime,Drama,Rohan Sippy,AbhishekBachchan, PriyankaChopraJonas, RiteishDeshmukh, NanaPatekar"
Oh Darling Yeh Hai India,Comedy,"ShahRukhKhan, DeepaSahi, JaavedJaaferi, AnupamKher",Ketan Mehta,"Miss India and an aspiring actor spend a night together roaming the streets of Mumbai and unwittingly clash paths with a megalomaniacal gangster planning to take over India.Comedy,Ketan Mehta,ShahRukhKhan, DeepaSahi, JaavedJaaferi, AnupamKher"
Ramayana: The Epic,"Animation,Action,Adventure","ManojBajpayee, JuhiChawla, AshutoshRana, MukeshRishi",Chetan Desai,"Lord Rama, son of King Dashrath is sent for exile for 14 years. His wife Sita and brother Laxman accompanies him. But she is deceitfully kidnapped by Ravana, The King of Lanka. Thus a might...                See full summary »Animation,Action,Adventure,Chetan Desai,ManojBajpayee, JuhiChawla, AshutoshRana, MukeshRishi"
Mangal Pandey: The Rising,"Biography,Drama,History","AamirKhan, RaniMukerji, TobyStephens, CoralBeed",Ketan Mehta,"This is a film about the leader of the 1857 mutiny and his fight against the British rule.Biography,Drama,History,Ketan Mehta,AamirKhan, RaniMukerji, TobyStephens, CoralBeed"
The Journey of Karma,Drama,"RaknilAvro, ShaktiKapoor, PoonamPandey, GauriShankar",Jagbir Dahiya,"Its a story of a slum girl who is brilliant in studies and tries to chase her dreams to work in America. She travels through her journey full of twist n turns, surprises, lust with a mysterious old man.Drama,Jagbir Dahiya,RaknilAvro, ShaktiKapoor, PoonamPandey, GauriShankar"
Raaz Reboot,"Horror,Mystery,Romance","EmraanHashmi, KritiKharbanda, SuzannaMukherjee, GauravArora",Vikram Bhatt,"The fourth installment of a horror series that explores secrets, mysteries and human frailties.Horror,Mystery,Romance,Vikram Bhatt,EmraanHashmi, KritiKharbanda, SuzannaMukherjee, GauravArora"
Dhanak,"Comedy,Drama","HetalGada, KrrishChhabria, VipinSharma, GulfamKhan",Nagesh Kukunoor,"Believing actor and goodwill ambassador Shah Rukh Khan can help her brother get an operation to restore his sight, a 10-year old girl takes her blind 8-year old brother on a trek across Rajasthan in search of the superstar.Comedy,Drama,Nagesh Kukunoor,HetalGada, KrrishChhabria, VipinSharma, GulfamKhan"
Bhoot and Friends,"Animation,Action,Adventure","JackieShroff, MarkandSoni, AkashNair, IshitaPanchal",Karanjeet Saluja,"Four holidaying children go missing, then encounter a ghost and hoodlums in a dense forest.Animation,Action,Adventure,Karanjeet Saluja,JackieShroff, MarkandSoni, AkashNair, IshitaPanchal"
Saajan Chale Sasural,"Comedy,Drama","Govinda, KarismaKapoor, Tabu, ShaktiKapoor",David Dhawan,"A village-based singer attempts to find love and fame in the big city.Comedy,Drama,David Dhawan,Govinda, KarismaKapoor, Tabu, ShaktiKapoor"
Sssshhh...,"Horror,Mystery","TanishaaMukerji, DinoMorea, KarannNathh, GauravKapoor",Pavan Kaul,"A serial killer is around which is responsible for taking many lives including that of Malini and her boyfriend. The police are unable to comprehend especially when this killer leaves no evidence at every crime scene.Horror,Mystery,Pavan Kaul,TanishaaMukerji, DinoMorea, KarannNathh, GauravKapoor"
Haathi Mere Saathi,"Action,Drama","BhuvanArora, SheebaChaddha, RanaDaggubati, RajeshDubeay",Prabu Solomon,"Watch the bond between humans and elephants with Bandevs story as he fights for the protection of his ele-friends. Witness the rage on 'Haathi Mere Saathi', full movie streaming in Hindi on Eros Now.Action,Drama,Prabu Solomon,BhuvanArora, SheebaChaddha, RanaDaggubati, RajeshDubeay"
The Shaukeens,Comedy,"AkshayKumar, LisaHaydon, AnupamKher, RajniBasumatary",Abhishek Sharma,"Three friends in their 60s try to do everything that they couldn't do in their younger days - before death arrives.Comedy,Abhishek Sharma,AkshayKumar, LisaHaydon, AnupamKher, RajniBasumatary"
Kati Patang,"Drama,Family,Musical","RajeshKhanna, AshaParekh, PremChopra, BinduDesai",Shakti Samanta,"A runaway bride promises her dying widowed friend that she will assume her identity and look after her infant child.Drama,Family,Musical,Shakti Samanta,RajeshKhanna, AshaParekh, PremChopra, BinduDesai"
I Am Kalam,"Comedy,Drama,Family","GulshanGrover, HarshMayar, Pitobash, HussanSaad",Nila Madhab Panda,"An impoverished boy forms an unlikely and unstable friendship with the lonely son of a nobleman.Comedy,Drama,Family,Nila Madhab Panda,GulshanGrover, HarshMayar, Pitobash, HussanSaad"
Hum Dono,"Drama,Musical,Romance","DevAnand, NandaKarnataki, SadhanaShivdasani, LalitaPawar",Amarjeet,"When an army officer is presumed dead in battle, his lookalike is tasked with breaking the news to his family. However, circumstances force him to impersonate the dead man.Drama,Musical,Romance,Amarjeet,DevAnand, NandaKarnataki, SadhanaShivdasani, LalitaPawar"
Jannat: In Search of Heaven...,"Crime,Drama,Romance","EmraanHashmi, SonalChauhan, SwatantraBharat, ArmenGreyg",Kunal Deshmukh,"Arjun is a reckless young man with an obsession for making money at card games. A chance meeting with a girl in a mall, Zoya, gives him the reasons he was looking for the move out of his ...                See full summary »Crime,Drama,Romance,Kunal Deshmukh,EmraanHashmi, SonalChauhan, SwatantraBharat, ArmenGreyg"
Jeet,"Action,Romance","SunnyDeol, KarismaKapoor, SalmanKhan, Tabu",Raj Kanwar,"A hitman working for a crime boss falls for a woman but she is married off to her childhood friend. Later, when the woman's and her husband's life comes under threat from the crime boss, the hitman becomes their protector.Action,Romance,Raj Kanwar,SunnyDeol, KarismaKapoor, SalmanKhan, Tabu"
Mard,"Action,Comedy,Drama","AmitabhBachchan, AmritaSingh, NirupaRoy, DaraSinghRandhawa",Manmohan Desai,"King Azad gets locked in a dungeon by the British general Dyer who wants to take over his kingdom. Years later, Azad's son decides to put an end to Dyer's tyranny and comes to his father's rescue.Action,Comedy,Drama,Manmohan Desai,AmitabhBachchan, AmritaSingh, NirupaRoy, DaraSinghRandhawa"
Half Girlfriend,"Drama,Romance","ShraddhaKapoor, VikrantMassey, ArjunKapoor, ShriidharDubey",Mohit Suri,"Madhav meets a girl named Riya and falls in love. After stuggling to convince her to be his girlfriend, she half heartedly agrees to be his ""Half Girlfriend""Drama,Romance,Mohit Suri,ShraddhaKapoor, VikrantMassey, ArjunKapoor, ShriidharDubey"
Jalebi,"Drama,Romance","RheaChakraborty, VarunMitra, DiganganaSuryavanshi, PoortiArya","Pushpdeep Bhardwaj, Lal Mohan","A woman boards an overnight train and gets placed in a compartment with her former lover and his wife.Drama,Romance,Pushpdeep Bhardwaj, Lal Mohan,RheaChakraborty, VarunMitra, DiganganaSuryavanshi, PoortiArya"
Thupparivaalan,"Action,Crime,Thriller","Vishal, Simran, Prasanna, VinayRai",Mysskin,"A detective is hungry for a challenging case to investigate and the mystery of a murdered dog leads to a rival who could be the match for him.Action,Crime,Thriller,Mysskin,Vishal, Simran, Prasanna, VinayRai"
Pyar Ka Karz,Drama,"Dharmendra, MeenakshiSheshadri, MithunChakraborty, NeelamKothari",K. Bapaiah,"Bombay-based Dr. Naina meets with musician and singer, Ravi Shankar, and both fall in love with each other. When Ravi returns from a concert in Delhi, he finds Naina getting married to ...                See full summary »Drama,K. Bapaiah,Dharmendra, MeenakshiSheshadri, MithunChakraborty, NeelamKothari"
Saina,"Biography,Drama,Sport","MukeshAgrohari, OlgaAnand, RohanApte, AmitAshar",Amole Gupte,"The story of Saina Nehwal, a professional badminton player who ranked number 1 in the sport.Biography,Drama,Sport,Amole Gupte,MukeshAgrohari, OlgaAnand, RohanApte, AmitAshar"
Virgin Bhanupriya,"Comedy,Drama","UrvashiRautela, GautamGulati, RajivGupta, ArchanaPuranSingh",Ajay Lohan,"Bhanupriya, a conservative girl decides to lose her virginity but fails in her every attempt. A soothsayer predicts that it is an impossible task and it will not happen to her. She decides to overcome this bad luck.Comedy,Drama,Ajay Lohan,UrvashiRautela, GautamGulati, RajivGupta, ArchanaPuranSingh"
Halahal,"Crime,Drama,Mystery","BarunSobti, SachinKhedekar, PurnenduBhattacharya, ManuRishiChadha",Randeep Jha,"The Murder of a college girl morphed into a suicide takes Dr. Shiv on a journey to dig the truth out of his daughter's murder.Crime,Drama,Mystery,Randeep Jha,BarunSobti, SachinKhedekar, PurnenduBhattacharya, ManuRishiChadha"
Maid for each other,Romance,"LavinaKhanchandani, BhupenderSinghRawat, AnnuSharma, SwaggerSharma",Swagger Sharma,"Grew up with the words "" Made for each other "" only to realize your soulmate is your ""maid"" ? Shivam a 25 years old falls in love with his maid while dating his current boss (charu). Mess ...                See full summary »Romance,Swagger Sharma,LavinaKhanchandani, BhupenderSinghRawat, AnnuSharma, SwaggerSharma"
Stalin,"Action,Drama","Chiranjeevi, TrishaKrishnan, PrakashRaj, Sharada",A.R. Murugadoss,"The story is about how an ex-army officer brings change in society by making people to help each other.Action,Drama,A.R. Murugadoss,Chiranjeevi, TrishaKrishnan, PrakashRaj, Sharada"
Dus,"Action,Crime,Drama","SanjayDutt, SunielShetty, AbhishekBachchan, ZayedKhan",Anubhav Sinha,"A team of specialists must catch a terrorist before he carries out an attack.Action,Crime,Drama,Anubhav Sinha,SanjayDutt, SunielShetty, AbhishekBachchan, ZayedKhan"
Om Dar-B-Dar,Drama,"AnitaKanwar, GopiDesai, LalitTiwari, LakshminarayanShastri",Kamal Swaroop,"A carefully constructed nonsense about a teenage boy named Om in a small Indian village.Drama,Kamal Swaroop,AnitaKanwar, GopiDesai, LalitTiwari, LakshminarayanShastri"
Mann,"Drama,Romance","AamirKhan, ManishaKoirala, SharmilaTagore, DeeptiBhatnagar",Indra Kumar,"A young woman falls in love with a handsome playboy, while aboard a Singapore to India cruise. They make plans to meet again, but fate may have other plans...Drama,Romance,Indra Kumar,AamirKhan, ManishaKoirala, SharmilaTagore, DeeptiBhatnagar"
3rd October,Drama,"MoinKhan, HitenTejwani, SnehaUllal, KanchiSingh",Vineet Jha,"Revolves around two lawyers with contrasting perspectives, each justified in their own right. The film sheds light on the role of the justice system and the media within our society.Drama,Vineet Jha,MoinKhan, HitenTejwani, SnehaUllal, KanchiSingh"
Baabul,"Drama,Family,Romance","AmitabhBachchan, SalmanKhan, HemaMalini, JohnAbraham",Ravi Chopra,"When his only son dies in an accident, Balraaj urges his depressed daughter-in-law to marry a man who has long loved her in silence.Drama,Family,Romance,Ravi Chopra,AmitabhBachchan, SalmanKhan, HemaMalini, JohnAbraham"
Roti Kapada Aur Makaan,"Action,Drama,Musical","ManojKumar, ShashiKapoor, ZeenatAman, MoushumiChatterjee",Manoj Kumar,"Bharat faces challenges in leading his family after taking the responsibilities following his father's death.Action,Drama,Musical,Manoj Kumar,ManojKumar, ShashiKapoor, ZeenatAman, MoushumiChatterjee"
Dobaara: See Your Evil,"Horror,Mystery","AdilHussain, HumaQureshi, MadalinaBellariuIon, LisaRay",Prawaal Raman,"Siblings Natasha and Kabir Merchant investigate an allegedly haunted mirror in their parents' home in this official adaption of 'Oculus'.Horror,Mystery,Prawaal Raman,AdilHussain, HumaQureshi, MadalinaBellariuIon, LisaRay"
Hawas,"Drama,Romance,Thriller","ShawarAli, MeghnaNaidu, TarunArora, MukeshTiwari",Karan Razdan,"Complications arise when a bored young wife embarks on an extra-marital affair with a stranger, leading to emotional turmoil and eventually, murder.Drama,Romance,Thriller,Karan Razdan,ShawarAli, MeghnaNaidu, TarunArora, MukeshTiwari"
Zakhmi Sipahi,Action,"VikasAnand, MithunChakraborty, PuneetIssar, GogaKapoor",T.L.V. Prasad,"Shakti is an honest police officer out to avenge the death of his father, Gautam Gorakhnath, and the trials and obstacles he faces while he goes through corruption, love, and usual Hindi film masala.Action,T.L.V. Prasad,VikasAnand, MithunChakraborty, PuneetIssar, GogaKapoor"
Happy Ending,"Comedy,Romance","SaifAliKhan, IleanaD'Cruz, KalkiKoechlin, RanvirShorey","Krishna D.K., Raj Nidimoru","A confused writer goes on the search of inspiration for his next story and falls in love with a best seller author who doesn't believe in love.Comedy,Romance,Krishna D.K., Raj Nidimoru,SaifAliKhan, IleanaD'Cruz, KalkiKoechlin, RanvirShorey"
Japan,"Action,Drama,Thriller","Sunil, Karthi, AnuEmmanuel, RajeshAggarwal",Raju Murugan,"Plot under wraps.Action,Drama,Thriller,Raju Murugan,Sunil, Karthi, AnuEmmanuel, RajeshAggarwal"
Gunda,"Action,Comedy,Crime","MithunChakraborty, MukeshRishi, MohanJoshi, ShaktiKapoor",Kanti Shah,"When a coolie's family is murdered by a group of gangsters and politicians, he swears revenge on them.Action,Comedy,Crime,Kanti Shah,MithunChakraborty, MukeshRishi, MohanJoshi, ShaktiKapoor"
Nishant,"Crime,Drama","GirishKarnad, ShabanaAzmi, AnantNag, AmrishPuri",Shyam Benegal,"A man whose wife is abducted seeks to have the culprits prosecuted for their crime, but no one will help him. Meanwhile, the wife-abused and berated by her abductors-cannot bring herself to face her husband.Crime,Drama,Shyam Benegal,GirishKarnad, ShabanaAzmi, AnantNag, AmrishPuri"
The Past,"Drama,Horror","SoniaAlbizuri, SamikshaBhatt, NavidMirzaaghazadeh, YuvraajParashar",Gagan Puri,"Two sisters Simran and Alia go on a vacation to Lonavala, where they experience paranormal activity at the bungalow that they're put up in, as an evil spirit takes over the place.Drama,Horror,Gagan Puri,SoniaAlbizuri, SamikshaBhatt, NavidMirzaaghazadeh, YuvraajParashar"
Army,"Action,Drama","Sridevi, ShahRukhKhan, Harish, MohnishBehl",Raam Shetty,"Arjun, a newlywed Army man, is brutally killed by a gangster, Nagraj. His young widow, determined to avenge her husband's death, raises an army of dedicated young men to kill the gangster.Action,Drama,Raam Shetty,Sridevi, ShahRukhKhan, Harish, MohnishBehl"
Dvand: The Internal Conflict,Drama,"IshtiyakKhan, IstiyakKhan, VikramKochhar, SanjayMishra",Ishtiyak Khan,"Add a PlotDrama,Ishtiyak Khan,IshtiyakKhan, IstiyakKhan, VikramKochhar, SanjayMishra"
Dulhe Raja,Comedy,"Govinda, RaveenaTandon, KaderKhan, PremChopra",Harmesh Malhotra,"Poor Raja opens a fast food restaurant right opposite a five star hotel run by it's owner Singhania, earning his wrath. The wealthy hotel owner uses all his influence to remove Raja, but in...                See full summary »Comedy,Harmesh Malhotra,Govinda, RaveenaTandon, KaderKhan, PremChopra"
Irada,"Drama,Mystery,Thriller","NaseeruddinShah, ArshadWarsi, DivyaDutta, SharadKelkar",Aparnaa Singh,"An NIA officer tries to unravel the conspiracy that led to the bombing of a business tycoon's factory.Drama,Mystery,Thriller,Aparnaa Singh,NaseeruddinShah, ArshadWarsi, DivyaDutta, SharadKelkar"
Jaggu Ki Lalten,Drama,"RambirAryam, AakritiBharti, RajendraBhatia, BirenDang",Vipin Kapoor,"""Jaggu ki Lalten"" is a comedy-drama musical film that explores the life of a scrap dealer cum businessman, Hari lal bhoot. A man with shrewd business tactics yet elated with generous and ...                See full summary »Drama,Vipin Kapoor,RambirAryam, AakritiBharti, RajendraBhatia, BirenDang"
Blackmail,"Drama,Musical,Romance","Dharmendra, RakheeGulzar, ShatrughanSinha, MadanPuri",Vijay Anand,"A woman is torn between the promise of new love and memories of an ex-fiance. Meanwhile, her scientist uncle-in-law becomes the target of an international gang seeking the secret formula to harness solar energy.Drama,Musical,Romance,Vijay Anand,Dharmendra, RakheeGulzar, ShatrughanSinha, MadanPuri"
Coolie,"Action,Comedy,Drama","AmitabhBachchan, WaheedaRehman, RishiKapoor, RatiAgnihotri","Manmohan Desai, Prayag Raj","When Iqbal gets separated from his mother and brother by a flood, he becomes a coolie at Mumbai railway station. He then fights for the coolies rights and faces challenges from a businessman.Action,Comedy,Drama,Manmohan Desai, Prayag Raj,AmitabhBachchan, WaheedaRehman, RishiKapoor, RatiAgnihotri"
Dedh Ishqiya,"Comedy,Drama,Romance","HumaQureshi, MadhuriDixit, NaseeruddinShah, ArshadWarsi",Abhishek Chaubey,"Two lousy crooks find paradise in the seven stages of love.Comedy,Drama,Romance,Abhishek Chaubey,HumaQureshi, MadhuriDixit, NaseeruddinShah, ArshadWarsi"
VD18,"Action,Drama","WamiqaGabbi, KeerthySuresh, VarunDhawan",Kalees,"Revolve around a DCP who transforms and travels to different place in order to safeguard his family.Action,Drama,Kalees,WamiqaGabbi, KeerthySuresh, VarunDhawan"
Ek Doctor Ki Maut,"Biography,Drama","ShabanaAzmi, PankajKapur, IrrfanKhan, DeepaSahi",Tapan Sinha,"After years of painstaking research at the cost of his domestic pleasure, Dr. Dipankar Roy discovers a vaccine for leprosy. The news is flashed over television and overnight, an ...                See full summary »Biography,Drama,Tapan Sinha,ShabanaAzmi, PankajKapur, IrrfanKhan, DeepaSahi"
Ram Gopal Varma Ki Aag,"Action,Adventure,Comedy","AmitabhBachchan, Mohanlal, AjayDevgn, VinodJaywant",Ram Gopal Varma,"A pair of bodyguards for a politician find their positions under threat when their employer is implicated in a scandal. Fleeing to Mumbai they find work with a gangster, but also find that the police are onto them.Action,Adventure,Comedy,Ram Gopal Varma,AmitabhBachchan, Mohanlal, AjayDevgn, VinodJaywant"
Yeh Ballet,"Drama,Musical","JulianSands, SarahJaneDias, JimSarbh, MihirAhuja",Sooni Taraporevala,"Discovered by an eccentric ballet master, two gifted but underprivileged Mumbai teens face bigotry and disapproval as they pursue their dancing dreams.Drama,Musical,Sooni Taraporevala,JulianSands, SarahJaneDias, JimSarbh, MihirAhuja"
Namak Haraam,Drama,"RajeshKhanna, AmitabhBachchan, SimiGarewal, Rekha",Hrishikesh Mukherjee,"Somnath (Somu) lives in a shanty house in a Delhi slum with his widowed mom, and unmarried sister, Sarla. He is friendly with Calcutta-based wealthy Vikram (Vicky) Maharaj. When Vicky's dad...                See full summary »Drama,Hrishikesh Mukherjee,RajeshKhanna, AmitabhBachchan, SimiGarewal, Rekha"
Woh Lamhe ...,"Biography,Drama,Romance","KanganaRanaut, ShineyAhuja, ShaadRandhawa, PurabKohli",Mohit Suri,"Based upon the life of actress Parveen Babi, this film describes the life of schizophrenic actress Sana Azim and the love of her life: Aditya Garewal.Biography,Drama,Romance,Mohit Suri,KanganaRanaut, ShineyAhuja, ShaadRandhawa, PurabKohli"
Mandi,"Comedy,Drama","ShabanaAzmi, SmitaPatil, NaseeruddinShah, AmrishPuri",Shyam Benegal,"Forbidden love, fraying loyalties and flagrant hypocrisy emerge when sanctimonious politicians drive a madam's brothel from the heart of Hyderabad.Comedy,Drama,Shyam Benegal,ShabanaAzmi, SmitaPatil, NaseeruddinShah, AmrishPuri"
Naya Daur,"Action,Drama,Musical","DilipKumar, Vyjayanthimala, AjitKhan, ChandUsmani",B.R. Chopra,"When the son of a landlord decides to modernize his business by replacing the horse carts with buses, a horse cart rider decides to challenge him.Action,Drama,Musical,B.R. Chopra,DilipKumar, Vyjayanthimala, AjitKhan, ChandUsmani"
Welcome to Karachi,"Action,Comedy,War","ArshadWarsi, JackkyBhagnani, LaurenGottlieb, DalipTahil",Ashish R. Mohan,"Two men from India land in Karachi, Pakistan, without their passports. They get trapped by the Taliban and desperately try to find a way to get back to India.Action,Comedy,War,Ashish R. Mohan,ArshadWarsi, JackkyBhagnani, LaurenGottlieb, DalipTahil"
No Land's Man,Drama,"NawazuddinSiddiqui, EishaChopra, VikramKochhar, Tahsan",Mostofa Sarwar Farooki,"The predominantly English-language film will chronicle a tragic and strange funny journey of a South Asian man whose journey takes a layered and complicated shape when he meets an Australian girl in the US.Drama,Mostofa Sarwar Farooki,NawazuddinSiddiqui, EishaChopra, VikramKochhar, Tahsan"
1971,"Action,Drama,War","ManojBajpayee, RaviKishan, DeepakDobriyal, KumudMishra",Amrit Sagar,"Based on true facts, the film revolves around 6 brave soldiers who escape from the clutches of the Pakistan Army and risk death with honour and courage with sacrifice towards their journey home.Action,Drama,War,Amrit Sagar,ManojBajpayee, RaviKishan, DeepakDobriyal, KumudMishra"
Saheb Biwi Aur Gangster 3,"Action,Crime,Drama","SanjayDutt, JimmyShergill, MahieGill, ChitrangdaSingh",Tigmanshu Dhulia,"The royal saga of deceit, conspiracy, greed and lust continues in the third installment of the series, as the Saheb and Biwi are pitted against an enemy and everyone involved is scheming ruthlessly for their own personal gain.Action,Crime,Drama,Tigmanshu Dhulia,SanjayDutt, JimmyShergill, MahieGill, ChitrangdaSingh"
Hawaizaada,"Biography,Drama","NamanJain, MithunChakraborty, SamirChandra, KanishkaSinghDeo",Vibhu Puri,"The film which is based on the life on an Indian scientist Shivkar Bapuji Talpade, who is credited to have constructed India's first unmanned plane is the tale of the hardships that he went...                See full summary »Biography,Drama,Vibhu Puri,NamanJain, MithunChakraborty, SamirChandra, KanishkaSinghDeo"
Tumhari Sulu,"Comedy,Drama","VidyaBalan, ManavKaul, NehaDhupia, VijayMaurya",Suresh Triveni,"Sulu is an ambitious housewife with a loving husband and a happy family. Things start changing for her when she accidentally lands a job as a radio jockey and her show becomes an instant hit.Comedy,Drama,Suresh Triveni,VidyaBalan, ManavKaul, NehaDhupia, VijayMaurya"
Prem,"Action,Drama,Romance","SanjayKapoor, Tabu, DeepakTijori, DalipTahil",Satish Kaushik,"Sanjay Verma is an eligible young man, who has been having hallucinations of a past life as Shantanu. He travels to a small community and meets with Sonia Verma, and recognizes her as the ...                See full summary »Action,Drama,Romance,Satish Kaushik,SanjayKapoor, Tabu, DeepakTijori, DalipTahil"
Dangerous Ishhq,"Fantasy,Mystery,Romance","KarismaKapoor, RajneeshDuggal, DivyaDutta, JimmyShergill",Vikram Bhatt,"Three doppelgangers(one girl+ two boys).Two of them loves each other and get together from many lives .And the third one(who can't be killed easily)also wants the girl and he tries to separate them through many lives.Fantasy,Mystery,Romance,Vikram Bhatt,KarismaKapoor, RajneeshDuggal, DivyaDutta, JimmyShergill"
Ajay,"Action,Drama,Romance","SunnyDeol, KarismaKapoor, ReenaRoy, KiranKumar",Suneel Darshan,"Raja Brijraj Singh and his younger brother Raja Ranbir Singh lives in a spacious bungalow and are wealthy landlords of a small Indian village name Kishengard. They would like there only, ...                See full summary »Action,Drama,Romance,Suneel Darshan,SunnyDeol, KarismaKapoor, ReenaRoy, KiranKumar"
