movie_name,genre,cast,director,tags
Parinda,"Action,Crime,Drama","JackieShroff, AnilKapoor, NanaPatekar, MadhuriDixit",Vidhu Vinod Chopra,"A man's friend, a police officer, is assassinated by gangsters in broad daylight. He discovers that his elder brother works in the same gang and decides to avenge his friend's death by infiltrating the gang.Action,Crime,Drama,Vidhu Vinod Chopra,JackieShroff, AnilKapoor, NanaPatekar, MadhuriDixit"
Saajan,"Drama,Musical,Romance","SanjayDutt, MadhuriDixit, SalmanKhan, EktaSohini",Lawrence D'Souza,"A poet (Sanjay Dutt) and his best friend (Salman Khan) fall in love with the same woman (Madhuri Dixit).Drama,Musical,Romance,Lawrence D'Souza,SanjayDutt, MadhuriDixit, SalmanKhan, EktaSohini"
Prassthanam,"Action,Drama","SanjayDutt, JackieShroff, AliFazal, ManishaKoirala",Deva Katta,"A rural politician marries a widow with kids and gains a respectable position. He trusts his stepson more than his own in political matters; thus upsetting his son beyond limits.Action,Drama,Deva Katta,SanjayDutt, JackieShroff, AliFazal, ManishaKoirala"
Berlin,Thriller,"KabirBedi, IshwakSingh, RahulBose, AparshaktiKhurana",Atul Sabharwal,"Add a PlotThriller,Atul Sabharwal,KabirBedi, IshwakSingh, RahulBose, AparshaktiKhurana"
Bhonsle,Drama,"ManojBajpayee, SantoshJuvekar, IpshitaChakrabortySingh, AdityaAgnihotri",Devashish Makhija,"Bhonsle is a retired policeman and is living a non-interfering life in a colony dominated by locals, diagnosed with stage 4 brain tumor. When the migrant resident politics take a nasty turn, he chooses to take a stance and deal with it.Drama,Devashish Makhija,ManojBajpayee, SantoshJuvekar, IpshitaChakrabortySingh, AdityaAgnihotri"
Chashme Baddoor,"Comedy,Drama","AliZafar, Siddharth, DivyenduSharma, TaapseePannu",David Dhawan,"When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds.Comedy,Drama,David Dhawan,AliZafar, Siddharth, DivyenduSharma, TaapseePannu"
Pukar,"Action,Drama,Romance","AnilKapoor, MadhuriDixit, NamrataShirodkar, OmPuri",Rajkumar Santoshi,"A notorious terrorist manipulates an Indian army major's jilted lover into helping him obtain a classified military code.Action,Drama,Romance,Rajkumar Santoshi,AnilKapoor, MadhuriDixit, NamrataShirodkar, OmPuri"
All Is Well,"Comedy,Drama,Romance","RishiKapoor, AbhishekBachchan, AsinThottumkal, SupriyaPathak",Umesh Shukla,"A musician finds himself on the run from a group of thugs with his friend and his estranged parents.Comedy,Drama,Romance,Umesh Shukla,RishiKapoor, AbhishekBachchan, AsinThottumkal, SupriyaPathak"
Do Ankhen Barah Haath,"Comedy,Crime,Drama","ShantaramRajaramVankudre, Sandhya, Ulhas, B.M. Vyas",Shantaram Rajaram Vankudre,"Progressive, reform-minded young warden gets permission to take six surly murderers from prison to dilapidated country farm, to rehabilitate it and themselves through hard work and kindly guidance.Comedy,Crime,Drama,Shantaram Rajaram Vankudre,ShantaramRajaramVankudre, Sandhya, Ulhas, B.M. Vyas"
Ittu Si Baat,Drama,"AakashAhuja, GayatriBhardwaj, RaviChauhan, DheerendraGautam",Adnan Ali,"The film is set in the small town of Chunar, near Varanasi. Ittu Si Baat is a slice-of-life story of an up-and-coming cricketer who falls in love with his childhood friend. ""A modern take ...                See full summary »Drama,Adnan Ali,AakashAhuja, GayatriBhardwaj, RaviChauhan, DheerendraGautam"
